Date,C,H,L,O,V
2014-01-16,2.595099925994873,2.6263999938964844,2.588200092315674,2.6177000999450684,62722
2014-01-17,2.6203999519348145,2.6364998817443848,2.5899999141693115,2.594399929046631,41834
2014-01-21,2.6205999851226807,2.6682000160217285,2.609999895095825,2.618799924850464,38845
2014-01-22,2.6770999431610107,2.679500102996826,2.624500036239624,2.6257998943328857,27697
2014-01-23,2.661799907684326,2.674499988555908,2.6558001041412354,2.670099973678589,24389
2014-01-24,2.6631999015808105,2.671999931335449,2.636199951171875,2.6631999015808105,23858
2014-01-27,2.6217000484466553,2.6696999073028564,2.6149001121520996,2.662600040435791,24974
2014-01-28,2.6277999877929688,2.647200107574463,2.622499942779541,2.6284000873565674,20116
2014-01-29,2.660900115966797,2.6644999980926514,2.6217000484466553,2.6301000118255615,17692
2014-01-30,2.662600040435791,2.689199924468994,2.654599905014038,2.6600000858306885,22302
2014-01-31,2.62719988822937,2.676500082015991,2.618499994277954,2.676500082015991,54950
2014-02-03,2.6068999767303467,2.6440000534057617,2.5941998958587646,2.6384999752044678,53483
2014-02-04,2.603100061416626,2.6180999279022217,2.59689998626709,2.610100030899048,45723
2014-02-05,2.6412999629974365,2.647900104522705,2.607800006866455,2.613600015640259,53961
2014-02-06,2.683000087738037,2.689199924468994,2.6445999145507812,2.6445999145507812,56228
2014-02-07,2.7488999366760254,2.753700017929077,2.675600051879883,2.687999963760376,64956
2014-02-10,2.7248001098632812,2.7604000568389893,2.7160000801086426,2.752500057220459,52179
2014-02-11,2.7525999546051025,2.761399984359741,2.7177999019622803,2.724900007247925,50677
2014-02-12,2.7630999088287354,2.7976999282836914,2.7546000480651855,2.7546000480651855,64518
2014-02-13,2.7771999835968018,2.7855000495910645,2.7332000732421875,2.7597999572753906,54008
2014-02-14,2.805299997329712,2.813499927520752,2.761199951171875,2.77239990234375,45236
2014-02-18,2.8322999477386475,2.847100019454956,2.796299934387207,2.8052000999450684,43201
2014-02-19,2.824700117111206,2.8441998958587646,2.815000057220459,2.8373000621795654,33802
2014-02-20,2.84660005569458,2.860300064086914,2.7850000858306885,2.821500062942505,30028
2014-02-21,2.8333001136779785,2.862799882888794,2.809999942779541,2.862799882888794,25121
2014-02-24,2.8336000442504883,2.8550000190734863,2.815000057220459,2.8340001106262207,30284
2014-02-25,2.798099994659424,2.8382999897003174,2.794600009918213,2.8362998962402344,29479
2014-02-26,2.7992000579833984,2.8162999153137207,2.778599977493286,2.794100046157837,24922
2014-02-27,2.7618000507354736,2.8008999824523926,2.7553999423980713,2.7955000400543213,21700
2014-02-28,2.789799928665161,2.796099901199341,2.7370998859405518,2.7511000633239746,50232
2014-03-03,3.0202999114990234,3.053800106048584,2.9830000400543213,2.9830000400543213,52762
2014-03-04,2.985300064086914,3.029400110244751,2.968400001525879,3.0213000774383545,39473
2014-03-05,2.9402999877929688,2.991499900817871,2.935499906539917,2.981100082397461,48284
2014-03-06,2.945499897003174,2.955399990081787,2.9265999794006348,2.9381000995635986,46890
2014-03-07,2.97379994392395,2.975600004196167,2.9326000213623047,2.947999954223633,53507
2014-03-10,2.949399948120117,2.9719998836517334,2.9386000633239746,2.9719998836517334,47641
2014-03-11,2.9670000076293945,2.97160005569458,2.9456000328063965,2.949399948120117,43005
2014-03-12,2.9558000564575195,2.9709999561309814,2.9346001148223877,2.9600000381469727,58579
2014-03-13,2.9328999519348145,2.960700035095215,2.9168999195098877,2.9554998874664307,43368
2014-03-14,2.959700107574463,2.9688000679016113,2.926500082015991,2.9300999641418457,43053
2014-03-17,2.8810999393463135,2.96560001373291,2.8784000873565674,2.9600000381469727,51425
2014-03-18,2.9028000831604004,2.905100107192993,2.8643999099731445,2.884999990463257,40594
2014-03-19,2.868799924850464,2.8973000049591064,2.8545000553131104,2.8965001106262207,35178
2014-03-20,2.8954999446868896,2.9000000953674316,2.852099895477295,2.865499973297119,34512
2014-03-21,2.907900094985962,2.9339001178741455,2.8852999210357666,2.8866000175476074,31004
2014-03-24,2.890899896621704,2.9372000694274902,2.882999897003174,2.907900094985962,35498
2014-03-25,2.8828001022338867,2.908099889755249,2.8673999309539795,2.890000104904175,38922
2014-03-26,2.908900022506714,2.9107000827789307,2.882999897003174,2.886399984359741,30110
2014-03-27,2.9426000118255615,2.9500999450683594,2.9010000228881836,2.9030001163482666,27883
2014-03-28,2.9375,2.9526000022888184,2.9235000610351562,2.938499927520752,34107
2014-03-31,2.9110000133514404,2.933300018310547,2.893399953842163,2.930500030517578,54707
2014-04-01,2.8696999549865723,2.9170000553131104,2.8585000038146973,2.9159998893737793,52739
2014-04-02,2.86680006980896,2.875499963760376,2.825200080871582,2.8601999282836914,75317
2014-04-03,2.911799907684326,2.914599895477295,2.8589999675750732,2.8721001148223877,61721
2014-04-04,2.931299924850464,2.939500093460083,2.9042999744415283,2.9052999019622803,59728
2014-04-07,2.9260001182556152,2.9460999965667725,2.8945999145507812,2.931299924850464,63460
2014-04-08,2.98009991645813,2.98580002784729,2.9267001152038574,2.9319000244140625,60972
2014-04-09,3.0083999633789062,3.0139999389648438,2.9746999740600586,2.9825000762939453,79514
2014-04-10,3.0078999996185303,3.011199951171875,2.9855000972747803,2.9979000091552734,59303
2014-04-11,3.014400005340576,3.038100004196167,2.995300054550171,3.0069000720977783,73281
